IdCliente,Nombre,RFC,FechaNacimiento,email,NumeroContacto,Estado,AlcaldiaMunicipio,FechaRegistro,Desc_error
63,Ash Sheers,539204001-2,04/06/2020,asheers1n@ft.com,7845491360,Cikou,Cikou,28/02/2023,"Fecha invalida, no puede ser mayor a hoy"
64,Jaymee Meanwell,821927895-1,15/10/2021,jmeanwell1o@pen.io,5837835806,Zhujiang,Zhujiang,21/11/2022,RFC con formato incorrecto
65,Datha Dominique,846053372-7,25/03/1981,ddominique1p@wordpress.org,8271382565,Temirgoyevskaya,Temirgoyevskaya,19/11/2022,RFC con formato incorrecto
66,Carolan Kingcott,921567037-8,17/11/2014,ckingcott1q@blogtalkradio.com,9444355969,Roliça,Roliça,31/12/2022,RFC con formato incorrecto
67,Sheena Spencook,277571142-1,15/01/2002,sspencook1r@toplist.cz,8184715189,Västerås,Västerås,02/01/2023,RFC con formato incorrecto
68,Ursulina Merrydew,839373857-1,12/06/2007,umerrydew1s@ft.com,4494590729,Visby,Visby,02/12/2022,RFC con formato incorrecto
69,Alexandre Corselles,502280313-5,16/12/2004,acorselles1t@youtube.com,4618201377,Sóc Trăng,Sóc Trăng,18/12/2022,RFC con formato incorrecto
70,Yoshiko Swiers,436277177-8,11/08/2007,yswiers1u@home.pl,5487047766,Asunción,Asunción,28/02/2023,RFC con formato incorrecto
70,Yoshiko Swiers,436277177-8,11/08/2007,yswiers1u@home.pl,5487047766,Asunción,Asunción,28/02/2023,"Fecha invalida, no puede ser mayor a hoy"
71,Leah Dundridge,914517708-2,11/08/1989,ldundridge1v@jiathis.com,2105464824,Dokshytsy,Dokshytsy,28/11/2022,RFC con formato incorrecto
72,Carly Breffit,011898705-4,24/11/2007,cbreffit1w@google.es,1482967498,Tojal,Tojal,27/12/2022,RFC con formato incorrecto
73,Minetta Pedersen,773289476-6,03/03/1987,mpedersen1x@godaddy.com,9443217919,Salgar,Salgar,08/01/2023,RFC con formato incorrecto
74,Caritta Ridley,289336950-2,29/11/1999,cridley1y@dagondesign.com,8021621002,Ala-Buka,Ala-Buka,20/11/2022,RFC con formato incorrecto
75,Salome Rochester,283845420-X,17/12/2005,srochester1z@posterous.com,8137259187,Tiberias,Tiberias,11/01/2023,RFC con formato incorrecto
76,Charo Hunston,634311879-9,07/03/1989,chunston20@opensource.org,1338282689,Tongquan,Tongquan,22/11/2022,RFC con formato incorrecto
77,Minetta Nagle,398693765-X,13/10/1981,mnagle21@cdc.gov,1963937517,Las Flores,Las Flores,08/12/2022,RFC con formato incorrecto
78,Luisa McNellis,620781994-2,05/05/2018,lmcnellis22@ocn.ne.jp,1539681100,Lamas,Lamas,14/02/2023,RFC con formato incorrecto
78,Luisa McNellis,620781994-2,05/05/2018,lmcnellis22@ocn.ne.jp,1539681100,Lamas,Lamas,14/02/2023,"Fecha invalida, no puede ser mayor a hoy"
79,Sadella Currell,473579790-4,18/12/2011,scurrell23@edublogs.org,5789593533,Changhan,Changhan,13/01/2023,RFC con formato incorrecto
80,Pepe Studdeard,927256865-X,11/04/2000,pstuddeard24@google.pl,1141645397,Yaogou,Yaogou,20/12/2022,RFC con formato incorrecto
81,Stephani Ladbrook,736720181-6,13/12/2000,sladbrook25@usnews.com,2254787752,Xingquan,Xingquan,31/10/2022,RFC con formato incorrecto
82,Sapphire German,634844195-4,15/05/2012,sgerman26@blogger.com,5886717599,Honiara,Honiara,28/02/2023,RFC con formato incorrecto
82,Sapphire German,634844195-4,15/05/2012,sgerman26@blogger.com,5886717599,Honiara,Honiara,28/02/2023,"Fecha invalida, no puede ser mayor a hoy"
83,Modestia Peckham,744441944-2,18/07/2015,mpeckham27@alibaba.com,4004174210,Elaiochóri,Elaiochóri,30/11/2022,RFC con formato incorrecto
84,Muhammad Plaice,115072716-0,8 DE DICIEMBRE DEL 20000,mplaice28@plala.or.jp,4251656987,Geyuan,Geyuan,19/12/2022,RFC con formato incorrecto
84,Muhammad Plaice,115072716-0,8 DE DICIEMBRE DEL 20000,mplaice28@plala.or.jp,4251656987,Geyuan,Geyuan,19/12/2022,Formato de fecha invalido. Debe tener formato dd/MM/yyyy
84,Muhammad Plaice,115072716-0,8 DE DICIEMBRE DEL 20000,mplaice28@plala.or.jp,4251656987,Geyuan,Geyuan,19/12/2022,"Fecha invalida, no puede ser mayor a hoy"
85,Cobb Cavanaugh,939215209-4,27/11/1985,ccavanaugh29@artisteer.com,3053167933,Gaoqiao,Gaoqiao,14/12/2022,RFC con formato incorrecto
86,Elane Gwillym,582610545-3,23/02/1983,egwillym2a@redcross.org,3952461310,Sundsvall,Sundsvall,31/12/2022,RFC con formato incorrecto
87,Sibyl Tomeo,779015397-8,05/07/1989,stomeo2b@vk.com,3232702641,Wright,Wright,18/11/2022,RFC con formato incorrecto
88,Em Baddeley,841595633-9,02/11/1989,ebaddeley2c@wordpress.org,2501379147,Ruyigi,Ruyigi,13/11/2022,RFC con formato incorrecto
89,Dietrich Shirt,284858535-8,11/11/1985,dshirt2d@tmall.com,6199287238,Namling,Namling,11/11/2022,RFC con formato incorrecto
90,Jeana Kyd,359617264-0,05/06/2000,jkyd2e@forbes.com,4287155525,Suai,Suai,24/10/2022,RFC con formato incorrecto
91,Linette Tathacott,115267279-7,16/03/2012,ltathacott2f@pinterest.com,5961563291,Uvira,Uvira,06/11/2022,RFC con formato incorrecto
92,Lilllie Hakonsen,450872446-9,18/05/2020,lhakonsen2g@taobao.com,4315735836,Sceaux,Sceaux,19 DE NOVIEMBRE,RFC con formato incorrecto
92,Lilllie Hakonsen,450872446-9,18/05/2020,lhakonsen2g@taobao.com,4315735836,Sceaux,Sceaux,19 DE NOVIEMBRE,Formato de fecha invalido. Debe tener formato dd/MM/yyyy
92,Lilllie Hakonsen,450872446-9,18/05/2020,lhakonsen2g@taobao.com,4315735836,Sceaux,Sceaux,19 DE NOVIEMBRE,"Fecha invalida, no puede ser mayor a hoy"
